"env","LON","LAT","DOY","YYYYMMDD","daysFromStart","T2M","T2M_MAX","T2M_MIN","T2MDEW","ALLSKY_SFC_LW_DWN","ALLSKY_SFC_SW_DWN","ALLSKY_SFC_SW_DNI","ALLSKY_SFC_PAR_TOT","ALLSKY_SFC_UVA","ALLSKY_SFC_UVB","PRECTOT","EVPTRNS","QV2M","RH2M","GWETROOT","GWETTOP","FROST_DAYS","WS2M","P_ETP","VPD","N","RTA","n","TH1","TH2","PAR_TEMP"
"verao_2018",-41.3433,-21.7136,2,2019-01-02,33,28.17,33.21,24,22.87,35.36,26.52,22.34,12.64,1.68,0.05,2.06,5.68,17.42,74.76,0.64,0.63,0,2.52,-3.62,1.24934644046658,13.429,42.478,7.063,79.27631308,77.6032,0.448704295349663
"verao_2018",-41.3433,-21.7136,3,2019-01-03,34,29.31,35.97,23.58,22.59,35.58,28.21,27.96,13.44,1.78,0.05,2.51,5.14,17.2,70.02,0.63,0.62,0,2.06,-2.63,1.6797991680895,13.423,42.463,8.838,80.34587338,78.6424,0.458546571136131
"verao_2018",-41.3433,-21.7136,4,2019-01-04,35,28.92,34.67,24.5,23.2,35.73,26.86,23.71,12.73,1.69,0.05,13.29,3.78,17.87,73.64,0.63,0.69,0,1.75,9.51,1.45414137969563,13.417,42.446,7.495,80.27840112,78.472,0.440179806362379
"verao_2018",-41.3433,-21.7136,5,2019-01-05,36,28.35,34.06,23.53,22.43,34.4,27.21,22.61,12.67,1.68,0.05,1.75,7.23,16.99,72.65,0.64,0.65,0,2.09,-5.48,1.40484172247539,13.411,42.427,7.147,79.26486225,77.6248,0.446913580246914
"verao_2018",-41.3433,-21.7136,6,2019-01-06,37,27.67,34.62,22.13,20.2,32.75,29.62,29.68,13.6,1.79,0.05,0,5.99,14.89,68.14,0.63,0.6,0,3.68,-5.99,1.71786221809361,13.403,42.407,9.381,77.63447462,76.142,0.491507047343693
"verao_2018",-41.3433,-21.7136,7,2019-01-07,38,27.56,34.08,22.24,20.43,32.89,30.28,32.79,14.04,1.84,0.05,0,3.49,15.05,68.71,0.62,0.59,0,4.2,-3.49,1.61162359345727,13.396,42.385,10.363,77.54518124,76.1148,0.509433962264151
"verao_2018",-41.3433,-21.7136,8,2019-01-08,39,27.62,34.57,22.99,20.14,33.45,29.28,30.51,13.69,1.8,0.05,0,2.72,14.73,67.06,0.61,0.58,0,4.3,-2.72,1.79039781653982,13.388,42.361,9.643,77.41937228,76.0704,0.495655322230268
"verao_2018",-41.3433,-21.7136,9,2019-01-09,40,26.43,32.47,21.7,19.93,32.06,30.87,35.86,14.29,1.87,0.06,0.02,1.91,14.6,70.93,0.61,0.57,0,4.04,-1.89,1.41103283319104,13.379,42.336,11.332,76.12464101,74.8048,0.540673477109345
"verao_2018",-41.3433,-21.7136,10,2019-01-10,41,26.92,32.87,22.41,20.96,33.25,29.5,33.2,13.83,1.82,0.06,0.05,1.56,15.52,73.12,0.6,0.57,0,3.62,-1.51,1.37121030408878,13.37,42.309,10.491,77.13610496,75.6656,0.513744427934621
"verao_2018",-41.3433,-21.7136,11,2019-01-11,42,27.28,33.75,22.57,21.31,33.63,29.6,33.33,13.89,1.82,0.06,0.09,1.27,15.86,73.21,0.6,0.56,0,3.34,-1.18,1.45662281851961,13.361,42.281,10.532,77.69974112,76.1516,0.5091642228739
"verao_2018",-41.3433,-21.7136,12,2019-01-12,43,26.88,32.64,22.61,21.02,33.9,27.7,27.26,13.07,1.73,0.05,0.03,1.06,15.58,73.44,0.6,0.56,0,3.15,-1.03,1.34654596456735,13.351,42.251,8.614,77.11414528,75.6472,0.486235119047619
"verao_2018",-41.3433,-21.7136,13,2019-01-13,44,26.79,32.98,21.78,20.51,33.27,29.17,31.36,13.61,1.79,0.06,0.01,0.94,15.14,72.47,0.59,0.56,0,3.06,-0.93,1.40342142149008,13.341,42.219,9.91,76.85725587,75.3736,0.50802538260545
"verao_2018",-41.3433,-21.7136,14,2019-01-14,45,27.54,33.96,22.79,21.21,34.17,28.11,29.72,13.21,1.75,0.05,0,0.81,15.75,71.56,0.59,0.55,0,3.52,-0.81,1.52137072629173,13.33,42.185,9.391,77.88486776,76.3756,0.479665940450254
"verao_2018",-41.3433,-21.7136,15,2019-01-15,46,28.53,36.08,23.22,21.38,34.28,30.05,33.85,14.14,1.86,0.06,0.01,0.77,15.94,68.94,0.59,0.55,0,3.67,-0.76,1.86137014206071,13.319,42.149,10.697,79.02277618,77.4268,0.495618647038205
"verao_2018",-41.3433,-21.7136,16,2019-01-16,47,29.67,37.43,23.79,21.71,35.12,29.26,32.42,13.79,1.8,0.05,0.66,0.73,16.26,66.19,0.59,0.54,0,3.04,-0.07,2.08727001466977,13.308,42.112,10.245,80.30971727,78.6856,0.464779238287833
"verao_2018",-41.3433,-21.7136,17,2019-01-17,48,29.99,37.1,25.03,21.73,34.8,28.83,29.13,13.64,1.79,0.05,0.37,0.64,16.3,64.72,0.58,0.52,0,3.44,-0.27,2.1404562467795,13.296,42.073,9.206,80.55237272,79.0128,0.454818272757586
"verao_2018",-41.3433,-21.7136,18,2019-01-18,49,29.34,36.04,24.24,21.05,35.06,28.74,30.05,13.57,1.79,0.05,0.08,0.54,15.64,64.21,0.58,0.51,0,3.67,-0.46,1.99589158372675,13.284,42.032,9.497,79.53419186,78.118,0.462508520790729
"verao_2018",-41.3433,-21.7136,19,2019-01-19,50,29.44,37.25,23.55,19.94,34.08,29.54,33.14,13.81,1.82,0.06,0.04,0.51,14.7,61.01,0.58,0.49,0,4.26,-0.47,2.30282876069431,13.271,41.989,10.474,79.20370056,77.8184,0.469089673913043
"verao_2018",-41.3433,-21.7136,20,2019-01-20,51,29.02,36.19,23.85,20.33,34.49,29.16,31.91,13.68,1.81,0.05,0.03,0.42,15.02,63.22,0.58,0.48,0,4.13,-0.39,2.09363964851671,13.258,41.944,10.086,78.92871956,77.5388,0.471399035148174
"verao_2018",-41.3433,-21.7136,21,2019-01-21,52,28.91,35.72,23.85,19.74,34.56,28.84,31.47,13.53,1.78,0.06,0,0.39,14.49,61.69,0.58,0.48,0,4.36,-0.39,2.10276541515266,13.245,41.897,9.949,78.55166321,77.2164,0.468004150812868
"verao_2018",-41.3433,-21.7136,22,2019-01-22,53,29,36.27,24.39,20.56,34.83,27.98,26.3,13.18,1.75,0.05,0.54,0.38,15.15,63.65,0.57,0.47,0,4.06,0.16,2.12138194616485,13.231,41.848,8.315,78.961965,77.6016,0.45448275862069
"verao_2018",-41.3433,-21.7136,23,2019-01-23,54,28.17,35.19,23.1,19.75,33.68,29.37,29.66,13.6,1.78,0.05,0.03,0.33,14.54,64.62,0.57,0.47,0,4,-0.3,1.95183353091655,13.217,41.798,9.379,77.89845946,76.48,0.482783102591409
"verao_2018",-41.3433,-21.7136,24,2019-01-24,55,28.73,36.25,22.81,20.21,34.08,29.91,35.05,14.04,1.83,0.06,0,0.34,14.92,64.61,0.57,0.46,0,4.3,-0.34,2.03122611092947,13.203,41.745,11.086,78.70889847,77.2056,0.48868778280543
"verao_2018",-41.3433,-21.7136,25,2019-01-25,56,26.97,32.1,23.37,21.04,34.53,22.84,13.55,10.76,1.46,0.04,1.27,0.15,15.66,72.89,0.57,0.47,0,3.65,1.12,1.33415290259874,13.188,41.69,4.286,77.18427867,75.7444,0.398961809417872
"verao_2018",-41.3433,-21.7136,26,2019-01-26,57,26.97,32.57,22.96,21.58,34.24,26.89,26.08,12.59,1.67,0.05,0.88,0.2,16.13,75.31,0.57,0.51,0,3.58,0.68,1.27932578155039,13.173,41.633,8.252,77.48436593,75.9388,0.466814979606971
"verao_2018",-41.3433,-21.7136,27,2019-01-27,58,27.97,34.61,23.09,21.52,33.59,28.79,31.24,13.43,1.76,0.05,0.1,0.32,16.07,71.73,0.57,0.49,0,3.83,-0.22,1.59607582256555,13.158,41.575,9.887,78.56056219,76.9172,0.480157311405077
"verao_2018",-41.3433,-21.7136,28,2019-01-28,59,28.02,33.3,23.93,22.4,34.25,27.56,28.71,12.98,1.7,0.05,2.05,0.31,16.9,74.07,0.57,0.51,0,3,1.74,1.33428223185173,13.143,41.514,9.089,78.95105986,77.284,0.463240542469665
"verao_2018",-41.3433,-21.7136,29,2019-01-29,60,28.23,35.15,22.72,21.55,33.93,29.92,35.1,13.98,1.82,0.06,0.23,0.34,16.12,71.18,0.57,0.52,0,2.91,-0.11,1.64350696611421,13.127,41.451,11.116,78.88073286,77.188,0.495217853347503
"verao_2018",-41.3433,-21.7136,30,2019-01-30,61,28.5,35.25,22.98,20.53,33.55,29.81,34.62,13.86,1.81,0.05,0.02,0.26,15.24,66.89,0.57,0.49,0,3.01,-0.24,1.83727441454585,13.111,41.386,10.968,78.6927435,77.0908,0.486315789473684
"verao_2018",-41.3433,-21.7136,31,2019-01-31,62,29.19,37.45,23.31,20.34,34.54,27.93,30.48,13.01,1.71,0.05,0.14,0.37,15.08,64.37,0.57,0.47,0,3.07,-0.23,2.25837762699782,13.095,41.318,9.66,79.34069697,77.7124,0.44570058239123
"verao_2018",-41.3433,-21.7136,32,2019-02-01,63,29.07,37.02,23.23,19.82,33.82,28.97,31.41,13.51,1.77,0.05,0,0.31,14.66,63.14,0.57,0.45,0,3.79,-0.31,2.25277899413081,13.078,41.249,9.959,78.98893002,77.4052,0.464740282077743
"verao_2018",-41.3433,-21.7136,33,2019-02-02,64,29.25,37.1,23.37,19.53,33.54,30.16,36.77,14.04,1.83,0.06,0.01,0.3,14.45,61.62,0.57,0.44,0,3.97,-0.29,2.3198148631448,13.061,41.177,11.663,79.0244515,77.4808,0.48
"verao_2018",-41.3433,-21.7136,34,2019-02-03,65,29.84,38.03,23.85,20.64,34.88,28.55,32.09,13.39,1.76,0.05,0.42,0.31,15.33,61.97,0.57,0.43,0,2.59,0.11,2.36371800956242,13.044,41.103,10.184,79.91561952,78.4704,0.44872654155496
"verao_2018",-41.3433,-21.7136,35,2019-02-04,66,28.02,33.51,24.54,21.94,35.81,19.08,5.1,9.12,1.26,0.04,0.57,0.17,16.57,72.52,0.57,0.44,0,2.36,0.4,1.49460025024404,13.027,41.027,1.619,78.74274296,77.1184,0.325481798715203
"verao_2018",-41.3433,-21.7136,36,2019-02-05,67,26.04,30.3,23.79,21.85,35.49,12.51,1.9,6.3,0.91,0.03,5.12,0.14,16.39,79.01,0.57,0.51,0,3.39,4.98,1.0116810585524,13.009,40.949,0.604,76.46243196,75.106,0.241935483870968
"verao_2018",-41.3433,-21.7136,37,2019-02-06,68,25.74,30.51,23.29,21.85,35.36,13.78,1.04,6.85,0.96,0.03,8.02,0.25,16.38,80.49,0.58,0.61,0,2.6,7.77,0.994047836405649,12.992,40.868,0.331,76.15027474,74.806,0.266122766122766
"verao_2018",-41.3433,-21.7136,38,2019-02-07,69,25.33,28.51,23.62,21.51,35.6,8.96,1.47,4.63,0.66,0.02,9.88,0.34,16.16,81.15,0.59,0.64,0,1.9,9.54,0.839068215737782,12.974,40.785,0.468,75.56259205,74.2736,0.182787208843269
"verao_2018",-41.3433,-21.7136,39,2019-02-08,70,27.17,33.47,23.43,21.71,35.18,22.05,19.39,10.46,1.42,0.04,2.29,1.65,16.34,75.3,0.6,0.61,0,1.76,0.64,1.42620985543876,12.956,40.7,6.172,77.7942199,76.1856,0.384983437615017
"verao_2018",-41.3433,-21.7136,40,2019-02-09,71,27.64,33.78,23.49,22.24,34.83,23.12,22.25,11.02,1.49,0.05,1.87,1.57,16.82,75.34,0.6,0.58,0,2.18,0.3,1.39121609882434,12.937,40.613,7.088,78.53051624,76.8464,0.398697539797395
"verao_2018",-41.3433,-21.7136,41,2019-02-10,72,28.04,33.75,23.63,22.13,34.6,25.22,25.72,11.95,1.59,0.05,2.48,1.41,16.72,73.3,0.6,0.59,0,3.27,1.07,1.41697594122623,12.919,40.523,8.2,78.8782868,77.2068,0.426176890156919
"verao_2018",-41.3433,-21.7136,42,2019-02-11,73,29.17,36.23,24.1,20.69,34.68,26.35,26.25,12.41,1.63,0.05,0.08,1.33,15.36,64.43,0.59,0.56,0,4.08,-1.25,2.0690188021975,12.9,40.431,8.375,79.32049869,77.8184,0.425437092903668
"verao_2018",-41.3433,-21.7136,43,2019-02-12,74,29.53,37.36,22.71,19.97,34.8,24.09,18.3,11.23,1.49,0.05,0.03,1.04,14.77,61.6,0.58,0.54,0,2.49,-1.01,2.24570311708313,12.881,40.336,5.844,79.4190752,77.9192,0.380291229258381
"verao_2018",-41.3433,-21.7136,44,2019-02-13,75,25.57,28.84,22.45,22.55,36.01,8.43,1.85,4.34,0.63,0.02,19.01,0.14,17.14,83.81,0.6,0.67,0,3.19,18.87,0.609163282378936,12.862,40.24,0.591,76.24278483,74.888,0.169730152522487
"verao_2018",-41.3433,-21.7136,45,2019-02-14,76,24.86,29.46,21.7,19.15,35.11,15.58,6.26,7.6,1.08,0.03,0.19,2.36,13.83,72.25,0.61,0.6,0,3.02,-2.17,1.13660697490281,12.843,40.14,2.003,73.8865865,72.954,0.305711987127916
"verao_2018",-41.3433,-21.7136,46,2019-02-15,77,25.79,31.19,21.86,19.38,35.38,15.4,4.35,7.53,1.06,0.03,0.18,1.83,14.06,69.25,0.6,0.58,0,1.98,-1.65,1.33136155166326,12.824,40.039,1.393,74.96812925,73.9668,0.291973633191159
"verao_2018",-41.3433,-21.7136,47,2019-02-16,78,27.98,34.19,23.71,22.65,35.95,6.55,0.57,3.44,0.5,0.02,4,1.22,17.33,75.18,0.6,0.58,0,1.8,2.78,1.40352519287303,12.805,39.935,0.183,79.03807036,77.334,0.122944960686204
"verao_2018",-41.3433,-21.7136,48,2019-02-17,79,28.64,34.78,24.45,22.89,36.33,18.72,6.19,9.03,1.23,0.04,14.07,2.62,17.6,74.44,0.62,0.67,0,1.94,11.45,1.51922047246841,12.785,39.829,1.987,79.95989984,78.0804,0.315293296089385
"verao_2018",-41.3433,-21.7136,49,2019-02-18,80,29.17,35.81,24.54,23.42,36.03,20.55,11.97,9.85,1.31,0.04,20.15,3.12,18.19,74.84,0.63,0.7,0,1.65,17.03,1.5990215548442,12.765,39.72,3.847,80.83809972,78.8012,0.337675694206376
"verao_2018",-41.3433,-21.7136,50,2019-02-19,81,27.52,30.71,24.85,24.52,35.96,20.67,11.47,9.92,1.34,0.04,13.29,3.52,19.31,84.33,0.66,0.75,0,1.9,9.77,0.700916168803923,12.746,39.609,3.691,79.50754984,77.5472,0.36046511627907
"verao_2018",-41.3433,-21.7136,51,2019-02-20,82,28.59,33.36,24.94,24.56,36.08,21.6,12.54,10.31,1.39,0.04,3.18,5.95,19.38,80.14,0.65,0.67,0,1.46,-2.77,1.05881347749945,12.726,39.496,4.041,80.68078574,78.6316,0.360615599860091
"verao_2018",-41.3433,-21.7136,52,2019-02-21,83,27.24,29.83,25.16,24.46,35.88,17.78,10.9,8.55,1.16,0.04,5.98,2.55,19.18,85.19,0.65,0.68,0,1.2,3.43,0.632656521721561,12.706,39.38,3.517,79.15592844,77.2456,0.313876651982379
"verao_2018",-41.3433,-21.7136,53,2019-02-22,84,28.36,33.37,24.39,23.82,34.81,27.55,31.52,12.97,1.68,0.05,0.55,6.94,18.44,78.28,0.64,0.64,0,1.85,-6.39,1.14311792868067,12.686,39.262,10.184,80.05576592,78.1352,0.457334273624824
"verao_2018",-41.3433,-21.7136,54,2019-02-23,85,29.37,35.9,24.32,23.4,34.88,26.58,28.94,12.5,1.63,0.05,0.25,6,18.06,73.6,0.63,0.61,0,1.78,-5.75,1.59691289422567,12.665,39.142,9.364,80.9650568,78.994,0.425604358188628
"verao_2018",-41.3433,-21.7136,55,2019-02-24,86,30.1,37.31,24.4,22.98,34.87,27.5,30.32,12.91,1.68,0.05,0.11,4.28,17.69,69.3,0.62,0.59,0,2.12,-4.17,1.91282428038826,12.645,39.019,9.826,81.421807,79.5728,0.42890365448505
"verao_2018",-41.3433,-21.7136,56,2019-02-25,87,30.48,37,25.44,23.38,35.64,26.31,27.91,12.36,1.61,0.05,0.9,2.85,18.13,68.97,0.61,0.58,0,1.66,-1.95,1.88856251009565,12.625,38.894,9.06,81.93792544,80.0968,0.405511811023622
"verao_2018",-41.3433,-21.7136,57,2019-02-26,88,28.85,33.75,26,23.78,35.89,24.45,21.94,11.6,1.54,0.05,10.59,1.31,18.54,76.23,0.61,0.65,0,1.55,9.28,1.35876552324155,12.604,38.766,7.133,80.54004145,78.6108,0.40207972270364
"verao_2018",-41.3433,-21.7136,58,2019-02-27,89,27.7,30.96,25.13,23.87,36.1,21.55,13.32,10.23,1.38,0.04,8.19,2.22,18.56,80.66,0.63,0.68,0,1.94,5.97,0.876638853279884,12.584,38.636,4.338,79.3220118,77.4932,0.369314079422383
"verao_2018",-41.3433,-21.7136,59,2019-02-28,90,27.82,31.88,24.56,23.64,35.94,20.01,13.33,9.53,1.29,0.04,8.69,2.4,18.32,79.39,0.63,0.67,0,1.51,6.29,0.984084398726789,12.563,38.504,4.349,79.34686502,77.5304,0.342559309849029
"verao_2019",-41.3433,-21.7136,1,2019-01-01,1,27.28,32.43,22.26,22.45,34.93,27.99,27.31,13.35,1.77,0.05,2.46,6.97,16.99,77,0.65,0.65,0,2.64,-4.51,1.06147077875031,13.434,42.492,8.634,78.181344,76.562,0.489369501466276
"verao_2019",-41.3433,-21.7136,2,2019-01-02,2,28.17,33.21,24,22.87,35.36,26.52,22.34,12.64,1.68,0.05,2.06,5.68,17.42,74.76,0.64,0.63,0,2.52,-3.62,1.24934644046658,13.429,42.478,7.063,79.27631308,77.6032,0.448704295349663
"verao_2019",-41.3433,-21.7136,3,2019-01-03,3,29.31,35.97,23.58,22.59,35.58,28.21,27.96,13.44,1.78,0.05,2.51,5.14,17.2,70.02,0.63,0.62,0,2.06,-2.63,1.6797991680895,13.423,42.463,8.838,80.34587338,78.6424,0.458546571136131
"verao_2019",-41.3433,-21.7136,4,2019-01-04,4,28.92,34.67,24.5,23.2,35.73,26.86,23.71,12.73,1.69,0.05,13.29,3.78,17.87,73.64,0.63,0.69,0,1.75,9.51,1.45414137969563,13.417,42.446,7.495,80.27840112,78.472,0.440179806362379
"verao_2019",-41.3433,-21.7136,5,2019-01-05,5,28.35,34.06,23.53,22.43,34.4,27.21,22.61,12.67,1.68,0.05,1.75,7.23,16.99,72.65,0.64,0.65,0,2.09,-5.48,1.40484172247539,13.411,42.427,7.147,79.26486225,77.6248,0.446913580246914
"verao_2019",-41.3433,-21.7136,6,2019-01-06,6,27.67,34.62,22.13,20.2,32.75,29.62,29.68,13.6,1.79,0.05,0,5.99,14.89,68.14,0.63,0.6,0,3.68,-5.99,1.71786221809361,13.403,42.407,9.381,77.63447462,76.142,0.491507047343693
"verao_2019",-41.3433,-21.7136,7,2019-01-07,7,27.56,34.08,22.24,20.43,32.89,30.28,32.79,14.04,1.84,0.05,0,3.49,15.05,68.71,0.62,0.59,0,4.2,-3.49,1.61162359345727,13.396,42.385,10.363,77.54518124,76.1148,0.509433962264151
"verao_2019",-41.3433,-21.7136,8,2019-01-08,8,27.62,34.57,22.99,20.14,33.45,29.28,30.51,13.69,1.8,0.05,0,2.72,14.73,67.06,0.61,0.58,0,4.3,-2.72,1.79039781653982,13.388,42.361,9.643,77.41937228,76.0704,0.495655322230268
"verao_2019",-41.3433,-21.7136,9,2019-01-09,9,26.43,32.47,21.7,19.93,32.06,30.87,35.86,14.29,1.87,0.06,0.02,1.91,14.6,70.93,0.61,0.57,0,4.04,-1.89,1.41103283319104,13.379,42.336,11.332,76.12464101,74.8048,0.540673477109345
"verao_2019",-41.3433,-21.7136,10,2019-01-10,10,26.92,32.87,22.41,20.96,33.25,29.5,33.2,13.83,1.82,0.06,0.05,1.56,15.52,73.12,0.6,0.57,0,3.62,-1.51,1.37121030408878,13.37,42.309,10.491,77.13610496,75.6656,0.513744427934621
"verao_2019",-41.3433,-21.7136,11,2019-01-11,11,27.28,33.75,22.57,21.31,33.63,29.6,33.33,13.89,1.82,0.06,0.09,1.27,15.86,73.21,0.6,0.56,0,3.34,-1.18,1.45662281851961,13.361,42.281,10.532,77.69974112,76.1516,0.5091642228739
"verao_2019",-41.3433,-21.7136,12,2019-01-12,12,26.88,32.64,22.61,21.02,33.9,27.7,27.26,13.07,1.73,0.05,0.03,1.06,15.58,73.44,0.6,0.56,0,3.15,-1.03,1.34654596456735,13.351,42.251,8.614,77.11414528,75.6472,0.486235119047619
"verao_2019",-41.3433,-21.7136,13,2019-01-13,13,26.79,32.98,21.78,20.51,33.27,29.17,31.36,13.61,1.79,0.06,0.01,0.94,15.14,72.47,0.59,0.56,0,3.06,-0.93,1.40342142149008,13.341,42.219,9.91,76.85725587,75.3736,0.50802538260545
"verao_2019",-41.3433,-21.7136,14,2019-01-14,14,27.54,33.96,22.79,21.21,34.17,28.11,29.72,13.21,1.75,0.05,0,0.81,15.75,71.56,0.59,0.55,0,3.52,-0.81,1.52137072629173,13.33,42.185,9.391,77.88486776,76.3756,0.479665940450254
"verao_2019",-41.3433,-21.7136,15,2019-01-15,15,28.53,36.08,23.22,21.38,34.28,30.05,33.85,14.14,1.86,0.06,0.01,0.77,15.94,68.94,0.59,0.55,0,3.67,-0.76,1.86137014206071,13.319,42.149,10.697,79.02277618,77.4268,0.495618647038205
"verao_2019",-41.3433,-21.7136,16,2019-01-16,16,29.67,37.43,23.79,21.71,35.12,29.26,32.42,13.79,1.8,0.05,0.66,0.73,16.26,66.19,0.59,0.54,0,3.04,-0.07,2.08727001466977,13.308,42.112,10.245,80.30971727,78.6856,0.464779238287833
"verao_2019",-41.3433,-21.7136,17,2019-01-17,17,29.99,37.1,25.03,21.73,34.8,28.83,29.13,13.64,1.79,0.05,0.37,0.64,16.3,64.72,0.58,0.52,0,3.44,-0.27,2.1404562467795,13.296,42.073,9.206,80.55237272,79.0128,0.454818272757586
"verao_2019",-41.3433,-21.7136,18,2019-01-18,18,29.34,36.04,24.24,21.05,35.06,28.74,30.05,13.57,1.79,0.05,0.08,0.54,15.64,64.21,0.58,0.51,0,3.67,-0.46,1.99589158372675,13.284,42.032,9.497,79.53419186,78.118,0.462508520790729
"verao_2019",-41.3433,-21.7136,19,2019-01-19,19,29.44,37.25,23.55,19.94,34.08,29.54,33.14,13.81,1.82,0.06,0.04,0.51,14.7,61.01,0.58,0.49,0,4.26,-0.47,2.30282876069431,13.271,41.989,10.474,79.20370056,77.8184,0.469089673913043
"verao_2019",-41.3433,-21.7136,20,2019-01-20,20,29.02,36.19,23.85,20.33,34.49,29.16,31.91,13.68,1.81,0.05,0.03,0.42,15.02,63.22,0.58,0.48,0,4.13,-0.39,2.09363964851671,13.258,41.944,10.086,78.92871956,77.5388,0.471399035148174
"verao_2019",-41.3433,-21.7136,21,2019-01-21,21,28.91,35.72,23.85,19.74,34.56,28.84,31.47,13.53,1.78,0.06,0,0.39,14.49,61.69,0.58,0.48,0,4.36,-0.39,2.10276541515266,13.245,41.897,9.949,78.55166321,77.2164,0.468004150812868
"verao_2019",-41.3433,-21.7136,22,2019-01-22,22,29,36.27,24.39,20.56,34.83,27.98,26.3,13.18,1.75,0.05,0.54,0.38,15.15,63.65,0.57,0.47,0,4.06,0.16,2.12138194616485,13.231,41.848,8.315,78.961965,77.6016,0.45448275862069
"verao_2019",-41.3433,-21.7136,23,2019-01-23,23,28.17,35.19,23.1,19.75,33.68,29.37,29.66,13.6,1.78,0.05,0.03,0.33,14.54,64.62,0.57,0.47,0,4,-0.3,1.95183353091655,13.217,41.798,9.379,77.89845946,76.48,0.482783102591409
"verao_2019",-41.3433,-21.7136,24,2019-01-24,24,28.73,36.25,22.81,20.21,34.08,29.91,35.05,14.04,1.83,0.06,0,0.34,14.92,64.61,0.57,0.46,0,4.3,-0.34,2.03122611092947,13.203,41.745,11.086,78.70889847,77.2056,0.48868778280543
"verao_2019",-41.3433,-21.7136,25,2019-01-25,25,26.97,32.1,23.37,21.04,34.53,22.84,13.55,10.76,1.46,0.04,1.27,0.15,15.66,72.89,0.57,0.47,0,3.65,1.12,1.33415290259874,13.188,41.69,4.286,77.18427867,75.7444,0.398961809417872
"verao_2019",-41.3433,-21.7136,26,2019-01-26,26,26.97,32.57,22.96,21.58,34.24,26.89,26.08,12.59,1.67,0.05,0.88,0.2,16.13,75.31,0.57,0.51,0,3.58,0.68,1.27932578155039,13.173,41.633,8.252,77.48436593,75.9388,0.466814979606971
"verao_2019",-41.3433,-21.7136,27,2019-01-27,27,27.97,34.61,23.09,21.52,33.59,28.79,31.24,13.43,1.76,0.05,0.1,0.32,16.07,71.73,0.57,0.49,0,3.83,-0.22,1.59607582256555,13.158,41.575,9.887,78.56056219,76.9172,0.480157311405077
"verao_2019",-41.3433,-21.7136,28,2019-01-28,28,28.02,33.3,23.93,22.4,34.25,27.56,28.71,12.98,1.7,0.05,2.05,0.31,16.9,74.07,0.57,0.51,0,3,1.74,1.33428223185173,13.143,41.514,9.089,78.95105986,77.284,0.463240542469665
"verao_2019",-41.3433,-21.7136,29,2019-01-29,29,28.23,35.15,22.72,21.55,33.93,29.92,35.1,13.98,1.82,0.06,0.23,0.34,16.12,71.18,0.57,0.52,0,2.91,-0.11,1.64350696611421,13.127,41.451,11.116,78.88073286,77.188,0.495217853347503
"verao_2019",-41.3433,-21.7136,30,2019-01-30,30,28.5,35.25,22.98,20.53,33.55,29.81,34.62,13.86,1.81,0.05,0.02,0.26,15.24,66.89,0.57,0.49,0,3.01,-0.24,1.83727441454585,13.111,41.386,10.968,78.6927435,77.0908,0.486315789473684
"verao_2019",-41.3433,-21.7136,31,2019-01-31,31,29.19,37.45,23.31,20.34,34.54,27.93,30.48,13.01,1.71,0.05,0.14,0.37,15.08,64.37,0.57,0.47,0,3.07,-0.23,2.25837762699782,13.095,41.318,9.66,79.34069697,77.7124,0.44570058239123
"verao_2019",-41.3433,-21.7136,32,2019-02-01,32,29.07,37.02,23.23,19.82,33.82,28.97,31.41,13.51,1.77,0.05,0,0.31,14.66,63.14,0.57,0.45,0,3.79,-0.31,2.25277899413081,13.078,41.249,9.959,78.98893002,77.4052,0.464740282077743
"verao_2019",-41.3433,-21.7136,33,2019-02-02,33,29.25,37.1,23.37,19.53,33.54,30.16,36.77,14.04,1.83,0.06,0.01,0.3,14.45,61.62,0.57,0.44,0,3.97,-0.29,2.3198148631448,13.061,41.177,11.663,79.0244515,77.4808,0.48
"verao_2019",-41.3433,-21.7136,34,2019-02-03,34,29.84,38.03,23.85,20.64,34.88,28.55,32.09,13.39,1.76,0.05,0.42,0.31,15.33,61.97,0.57,0.43,0,2.59,0.11,2.36371800956242,13.044,41.103,10.184,79.91561952,78.4704,0.44872654155496
"verao_2019",-41.3433,-21.7136,35,2019-02-04,35,28.02,33.51,24.54,21.94,35.81,19.08,5.1,9.12,1.26,0.04,0.57,0.17,16.57,72.52,0.57,0.44,0,2.36,0.4,1.49460025024404,13.027,41.027,1.619,78.74274296,77.1184,0.325481798715203
"verao_2019",-41.3433,-21.7136,36,2019-02-05,36,26.04,30.3,23.79,21.85,35.49,12.51,1.9,6.3,0.91,0.03,5.12,0.14,16.39,79.01,0.57,0.51,0,3.39,4.98,1.0116810585524,13.009,40.949,0.604,76.46243196,75.106,0.241935483870968
"verao_2019",-41.3433,-21.7136,37,2019-02-06,37,25.74,30.51,23.29,21.85,35.36,13.78,1.04,6.85,0.96,0.03,8.02,0.25,16.38,80.49,0.58,0.61,0,2.6,7.77,0.994047836405649,12.992,40.868,0.331,76.15027474,74.806,0.266122766122766
"verao_2019",-41.3433,-21.7136,38,2019-02-07,38,25.33,28.51,23.62,21.51,35.6,8.96,1.47,4.63,0.66,0.02,9.88,0.34,16.16,81.15,0.59,0.64,0,1.9,9.54,0.839068215737782,12.974,40.785,0.468,75.56259205,74.2736,0.182787208843269
