"env","LON","LAT","DOY","YYYYMMDD","daysFromStart","T2M","T2M_MAX","T2M_MIN","T2MDEW","ALLSKY_SFC_LW_DWN","ALLSKY_SFC_SW_DWN","ALLSKY_SFC_SW_DNI","ALLSKY_SFC_PAR_TOT","ALLSKY_SFC_UVA","ALLSKY_SFC_UVB","PRECTOT","EVPTRNS","QV2M","RH2M","GWETROOT","GWETTOP","FROST_DAYS","WS2M","P_ETP","VPD","N","RTA","n","TH1","TH2","PAR_TEMP","n.1","N.1","RTA.1","VPD.1","SPV","ETP","PETP","GDD","FRUE","T2M_RANGE"
"verao_2019",-41.3433,-21.7136,14,2019-01-14,14,27.54,33.96,22.79,21.21,34.17,28.11,29.72,13.21,1.75,0.05,0,0.81,15.75,71.56,0.59,0.55,0,3.52,-0.81,1.52137072629173,13.33,42.185,9.391,77.88486776,76.3756,0.479665940450254,8.79312597747958,13.1958862893365,42.1848116975996,1.52137072629173,0.224466052662665,13.0734413972523,-13.0734413972523,18.375,1,11.17
"verao_2019",-41.3433,-21.7136,15,2019-01-15,15,28.53,36.08,23.22,21.38,34.28,30.05,33.85,14.14,1.86,0.06,0.01,0.77,15.94,68.94,0.59,0.55,0,3.67,-0.76,1.86137014206071,13.319,42.149,10.697,79.02277618,77.4268,0.495618647038205,9.40048326069981,13.1854654117039,42.149241122334,1.86137014206071,0.239324546492087,14.0588932712642,-14.0488932712642,19.65,1,12.86
"verao_2019",-41.3433,-21.7136,16,2019-01-16,16,29.67,37.43,23.79,21.71,35.12,29.26,32.42,13.79,1.8,0.05,0.66,0.73,16.26,66.19,0.59,0.54,0,3.04,-0.07,2.08727001466977,13.308,42.112,10.245,80.30971727,78.6856,0.464779238287833,9.15398233533237,13.1746827859467,42.111859537776,2.08727001466977,0.251049097323687,13.7470267645313,-13.0870267645313,20.61,1,13.64
"verao_2019",-41.3433,-21.7136,17,2019-01-17,17,29.99,37.1,25.03,21.73,34.8,28.83,29.13,13.64,1.79,0.05,0.37,0.64,16.3,64.72,0.58,0.52,0,3.44,-0.27,2.1404562467795,13.296,42.073,9.206,80.55237272,79.0128,0.454818272757586,9.02023119225037,13.1635442624783,42.0726445917814,2.1404562467795,0.256771992876287,13.5710421726406,-13.2010421726406,21.065,1,12.07
"verao_2019",-41.3433,-21.7136,18,2019-01-18,18,29.34,36.04,24.24,21.05,35.06,28.74,30.05,13.57,1.79,0.05,0.08,0.54,15.64,64.21,0.58,0.51,0,3.67,-0.46,1.99589158372675,13.284,42.032,9.497,79.53419186,78.118,0.462508520790729,8.99300338208982,13.152055807611,42.0315736412968,1.99589158372675,0.245250190779574,13.4752888057293,-13.3952888057293,20.14,1,11.8
"verao_2019",-41.3433,-21.7136,19,2019-01-19,19,29.44,37.25,23.55,19.94,34.08,29.54,33.14,13.81,1.82,0.06,0.04,0.51,14.7,61.01,0.58,0.49,0,4.26,-0.47,2.30282876069431,13.271,41.989,10.474,79.20370056,77.8184,0.469089673913043,9.24446116151361,13.1402234938534,41.9886238069148,2.30282876069431,0.248444050547577,13.8660605743558,-13.8260605743558,20.4,1,13.7
"verao_2019",-41.3433,-21.7136,20,2019-01-20,20,29.02,36.19,23.85,20.33,34.49,29.16,31.91,13.68,1.81,0.05,0.03,0.42,15.02,63.22,0.58,0.48,0,4.13,-0.39,2.09363964851671,13.258,41.944,10.086,78.92871956,77.5388,0.471399035148174,9.12683865230245,13.1280534902646,41.943772028833,2.09363964851671,0.243787756920766,13.6650044521544,-13.6350044521544,20.02,1,12.34
"verao_2019",-41.3433,-21.7136,21,2019-01-21,21,28.91,35.72,23.85,19.74,34.56,28.84,31.47,13.53,1.78,0.06,0,0.39,14.49,61.69,0.58,0.48,0,4.36,-0.39,2.10276541515266,13.245,41.897,9.949,78.55166321,77.2164,0.468004150812868,9.02815393048191,13.1155520528915,41.8969951241405,2.10276541515266,0.240945003990178,13.5009601374582,-13.5009601374582,19.785,1,11.87
"verao_2019",-41.3433,-21.7136,22,2019-01-22,22,29,36.27,24.39,20.56,34.83,27.98,26.3,13.18,1.75,0.05,0.54,0.38,15.15,63.65,0.57,0.47,0,4.06,0.16,2.12138194616485,13.231,41.848,8.315,78.961965,77.6016,0.45448275862069,8.76055954698884,13.1027255153183,41.8482698453455,2.12138194616485,0.247580754229539,13.1298182486691,-12.5898182486691,20.33,1,11.88
"verao_2019",-41.3433,-21.7136,23,2019-01-23,23,28.17,35.19,23.1,19.75,33.68,29.37,29.66,13.6,1.78,0.05,0.03,0.33,14.54,64.62,0.57,0.47,0,4,-0.3,1.95183353091655,13.217,41.798,9.379,77.89845946,76.48,0.482783102591409,9.19768651055256,13.0895802793539,41.7975729400597,1.95183353091655,0.23334366759328,13.7091563031081,-13.6791563031081,19.145,1,12.09
"verao_2019",-41.3433,-21.7136,24,2019-01-24,24,28.73,36.25,22.81,20.21,34.08,29.91,35.05,14.04,1.83,0.06,0,0.34,14.92,64.61,0.57,0.46,0,4.3,-0.34,2.03122611092947,13.203,41.745,11.086,78.70889847,77.2056,0.48868778280543,9.36897702834658,13.0761228058813,41.7448812117466,2.03122611092947,0.23789182537846,13.9858196100232,-13.9858196100232,19.53,1,13.44
"verao_2019",-41.3433,-21.7136,25,2019-01-25,25,26.97,32.1,23.37,21.04,34.53,22.84,13.55,10.76,1.46,0.04,1.27,0.15,15.66,72.89,0.57,0.47,0,3.65,1.12,1.33415290259874,13.188,41.69,4.286,77.18427867,75.7444,0.398961809417872,7.1562260859449,13.0623596058941,41.6901715814401,1.33415290259874,0.217304783527497,10.5892007706169,-9.31920077061688,17.735,1,8.73
"verao_2019",-41.3433,-21.7136,26,2019-01-26,26,26.97,32.57,22.96,21.58,34.24,26.89,26.08,12.59,1.67,0.05,0.88,0.2,16.13,75.31,0.57,0.51,0,3.58,0.68,1.27932578155039,13.173,41.633,8.252,77.48436593,75.9388,0.466814979606971,8.4275733981728,13.0482972317395,41.6334211503336,1.27932578155039,0.217636124353491,12.4687461520687,-11.5887461520687,17.765,1,9.61
"verao_2019",-41.3433,-21.7136,27,2019-01-27,27,27.97,34.61,23.09,21.52,33.59,28.79,31.24,13.43,1.76,0.05,0.1,0.32,16.07,71.73,0.57,0.49,0,3.83,-0.22,1.59607582256555,13.158,41.575,9.887,78.56056219,76.9172,0.480157311405077,9.02587474940374,13.0339422685913,41.5746072631389,1.59607582256555,0.229908304612415,13.4199748585873,-13.3199748585873,18.85,1,11.52
"verao_2019",-41.3433,-21.7136,28,2019-01-28,28,28.02,33.3,23.93,22.4,34.25,27.56,28.71,12.98,1.7,0.05,2.05,0.31,16.9,74.07,0.57,0.51,0,3,1.74,1.33428223185173,13.143,41.514,9.089,78.95105986,77.284,0.463240542469665,8.64321607329198,13.0193013261679,41.513707572108,1.33428223185173,0.227202138079017,12.8323756648853,-10.7823756648853,18.615,1,9.37
"verao_2019",-41.3433,-21.7136,29,2019-01-29,29,28.23,35.15,22.72,21.55,33.93,29.92,35.1,13.98,1.82,0.06,0.23,0.34,16.12,71.18,0.57,0.52,0,2.91,-0.11,1.64350696611421,13.127,41.451,11.116,78.88073286,77.188,0.495217853347503,9.38683977557051,13.0043810307163,41.4507001016093,1.64350696611421,0.230893771380954,13.952259341779,-13.722259341779,18.935,1,12.43
"verao_2019",-41.3433,-21.7136,30,2019-01-30,30,28.5,35.25,22.98,20.53,33.55,29.81,34.62,13.86,1.81,0.05,0.02,0.26,15.24,66.89,0.57,0.49,0,3.01,-0.24,1.83727441454585,13.111,41.386,10.968,78.6927435,77.0908,0.486315789473684,9.35610545796183,12.9891880172746,41.3855633131466,1.83727441454585,0.232992352395425,13.9126065185122,-13.8926065185122,19.115,1,12.27
"verao_2019",-41.3433,-21.7136,31,2019-01-31,31,29.19,37.45,23.31,20.34,34.54,27.93,30.48,13.01,1.71,0.05,0.14,0.37,15.08,64.37,0.57,0.47,0,3.07,-0.23,2.25837762699782,13.095,41.318,9.66,79.34069697,77.7124,0.44570058239123,8.76987818419125,12.9737289222291,41.3182761707054,2.25837762699782,0.248197137317553,13.1091939422625,-12.9691939422625,20.38,1,14.14
"verao_2019",-41.3433,-21.7136,32,2019-02-01,32,29.07,37.02,23.23,19.82,33.82,28.97,31.41,13.51,1.77,0.05,0,0.31,14.66,63.14,0.57,0.45,0,3.79,-0.31,2.25277899413081,13.078,41.249,9.959,78.98893002,77.4052,0.464740282077743,9.10071068509851,12.9580103761769,41.2488182063095,2.25277899413081,0.245066985191795,13.5822356478744,-13.5822356478744,20.125,1,13.79
"verao_2019",-41.3433,-21.7136,33,2019-02-02,33,29.25,37.1,23.37,19.53,33.54,30.16,36.77,14.04,1.83,0.06,0.01,0.3,14.45,61.62,0.57,0.44,0,3.97,-0.29,2.3198148631448,13.061,41.177,11.663,79.0244515,77.4808,0.48,9.47932798879384,12.9420389971063,41.1771695856672,2.3198148631448,0.246413162074463,14.1469544428716,-14.1369544428716,20.235,1,13.73
"verao_2019",-41.3433,-21.7136,34,2019-02-03,34,29.84,38.03,23.85,20.64,34.88,28.55,32.09,13.39,1.76,0.05,0.42,0.31,15.33,61.97,0.57,0.43,0,2.59,0.11,2.36371800956242,13.044,41.103,10.184,79.91561952,78.4704,0.44872654155496,8.97816234196149,12.9258213839025,41.1033111737866,2.36371800956242,0.25518898643971,13.4322118970092,-13.0122118970092,20.94,1,14.18
"verao_2019",-41.3433,-21.7136,35,2019-02-04,35,28.02,33.51,24.54,21.94,35.81,19.08,5.1,9.12,1.26,0.04,0.57,0.17,16.57,72.52,0.57,0.44,0,2.36,0.4,1.49460025024404,13.027,41.027,1.619,78.74274296,77.1184,0.325481798715203,6.00359077712986,12.9093641101885,41.0272246004332,1.49460025024404,0.231941069502231,8.90109729638878,-8.33109729638878,19.025,1,8.97
"verao_2019",-41.3433,-21.7136,36,2019-02-05,36,26.04,30.3,23.79,21.85,35.49,12.51,1.9,6.3,0.91,0.03,5.12,0.14,16.39,79.01,0.57,0.51,0,3.39,4.98,1.0116810585524,13.009,40.949,0.604,76.46243196,75.106,0.241935483870968,3.93874752306372,12.8926737185059,40.9488923253076,1.0116810585524,0.209800115992151,5.77966109835829,-0.659661098358287,17.045,1,6.51
"verao_2019",-41.3433,-21.7136,37,2019-02-06,37,25.74,30.51,23.29,21.85,35.36,13.78,1.04,6.85,0.96,0.03,8.02,0.25,16.38,80.49,0.58,0.61,0,2.6,7.77,0.994047836405649,12.992,40.868,0.331,76.15027474,74.806,0.266122766122766,4.3414562754909,12.8757567148411,40.8682977028135,0.994047836405649,0.208251085530713,6.36161177077444,1.65838822922556,16.9,1,7.22
"verao_2019",-41.3433,-21.7136,38,2019-02-07,38,25.33,28.51,23.62,21.51,35.6,8.96,1.47,4.63,0.66,0.02,9.88,0.34,16.16,81.15,0.59,0.64,0,1.9,9.54,0.839068215737782,12.974,40.785,0.468,75.56259205,74.2736,0.182787208843269,2.8248628317151,12.8586195635007,40.7854250462897,0.839068215737782,0.199516750569799,4.11804835853274,5.76195164146726,16.065,1,4.89
"verao_2019",-41.3433,-21.7136,39,2019-02-08,39,27.17,33.47,23.43,21.71,35.18,22.05,19.39,10.46,1.42,0.04,2.29,1.65,16.34,75.3,0.6,0.61,0,1.76,0.64,1.42620985543876,12.956,40.7,6.172,77.7942199,76.1856,0.384983437615017,6.95695743936853,12.8412686823381,40.7002596915779,1.42620985543876,0.225318090237583,10.2587449198163,-7.96874491981633,18.45,1,10.04
"verao_2019",-41.3433,-21.7136,40,2019-02-09,40,27.64,33.78,23.49,22.24,34.83,23.12,22.25,11.02,1.49,0.05,1.87,1.57,16.82,75.34,0.6,0.58,0,2.18,0.3,1.39121609882434,12.937,40.613,7.088,78.53051624,76.8464,0.398697539797395,7.30026672627653,12.8237104383324,40.6127880597955,1.39121609882434,0.22743140382232,10.7660639725821,-8.89606397258213,18.635,1,10.29
"verao_2019",-41.3433,-21.7136,41,2019-02-10,41,28.04,33.75,23.63,22.13,34.6,25.22,25.72,11.95,1.59,0.05,2.48,1.41,16.72,73.3,0.6,0.59,0,3.27,1.07,1.41697594122623,12.919,40.523,8.2,78.8782868,77.2068,0.426176890156919,7.96994561156695,12.8059511435198,40.5229977191868,1.41697594122623,0.228062886550893,11.7470139673485,-9.26701396734852,18.69,1,10.12
"verao_2019",-41.3433,-21.7136,42,2019-02-11,42,29.17,36.23,24.1,20.69,34.68,26.35,26.25,12.41,1.63,0.05,0.08,1.33,15.36,64.43,0.59,0.56,0,4.08,-1.25,2.0690188021975,12.9,40.431,8.375,79.32049869,77.8184,0.425437092903668,8.33431633413845,12.7879970512753,40.4308774459228,2.0690188021975,0.245555788659697,12.35604478459,-12.27604478459,20.165,1,12.13
"verao_2019",-41.3433,-21.7136,43,2019-02-12,43,29.53,37.36,22.71,19.97,34.8,24.09,18.3,11.23,1.49,0.05,0.03,1.04,14.77,61.6,0.58,0.54,0,2.49,-1.01,2.24570311708313,12.881,40.336,5.844,79.4190752,77.9192,0.380291229258381,7.62650260182023,12.7698543529437,40.3364172837221,2.24570311708313,0.243970160193304,11.2898395772818,-11.2598395772818,20.035,1,14.65
"verao_2019",-41.3433,-21.7136,44,2019-02-13,44,25.57,28.84,22.45,22.55,36.01,8.43,1.85,4.34,0.63,0.02,19.01,0.14,17.14,83.81,0.6,0.67,0,3.19,18.87,0.609163282378936,12.862,40.24,0.591,76.24278483,74.888,0.169730152522487,2.67138261722332,12.7515291748159,40.2396086021666,0.609163282378936,0.195241312732137,3.8654884771427,15.1445115228573,15.645,1,6.39
"verao_2019",-41.3433,-21.7136,45,2019-02-14,45,24.86,29.46,21.7,19.15,35.11,15.58,6.26,7.6,1.08,0.03,0.19,2.36,13.83,72.25,0.61,0.6,0,3.02,-2.17,1.13660697490281,12.843,40.14,2.003,73.8865865,72.954,0.305711987127916,4.94216179737356,12.7330275754467,40.1404441535861,1.13660697490281,0.194586582198851,7.14145025946867,-6.95145025946867,15.58,1,7.76
"verao_2019",-41.3433,-21.7136,46,2019-02-15,46,25.79,31.19,21.86,19.38,35.38,15.4,4.35,7.53,1.06,0.03,0.18,1.83,14.06,69.25,0.6,0.58,0,1.98,-1.65,1.33136155166326,12.824,40.039,1.393,74.96812925,73.9668,0.291973633191159,4.89026888136935,12.7143555433087,40.0389181283885,1.33136155166326,0.204289513868017,7.09546198921558,-6.91546198921558,16.525,1,9.33
"verao_2019",-41.3433,-21.7136,47,2019-02-16,47,27.98,34.19,23.71,22.65,35.95,6.55,0.57,3.44,0.5,0.02,4,1.22,17.33,75.18,0.6,0.58,0,1.8,2.78,1.40352519287303,12.805,39.935,0.183,79.03807036,77.334,0.122944960686204,2.08227356559595,12.6955189947767,39.9350262087146,1.40352519287303,0.231068044853277,3.05460236288866,0.945397637111344,18.95,1,10.48
"verao_2019",-41.3433,-21.7136,48,2019-02-17,48,28.64,34.78,24.45,22.89,36.33,18.72,6.19,9.03,1.23,0.04,14.07,2.62,17.6,74.44,0.62,0.67,0,1.94,11.45,1.51922047246841,12.785,39.829,1.987,79.95989984,78.0804,0.315293296089385,5.95811899576154,12.6765237724376,39.828765620298,1.51922047246841,0.238905923692083,8.7567726269751,5.3132273730249,19.615,1,10.33
"verao_2019",-41.3433,-21.7136,49,2019-02-18,49,29.17,35.81,24.54,23.42,36.03,20.55,11.97,9.85,1.31,0.04,20.15,3.12,18.19,74.84,0.63,0.7,0,1.65,17.03,1.5990215548442,12.765,39.72,3.847,80.83809972,78.8012,0.337675694206376,6.54854441667445,12.6573756437157,39.7201351824148,1.5990215548442,0.245678117192503,9.63672968680253,10.5132703131975,20.175,1,11.27
"verao_2019",-41.3433,-21.7136,50,2019-02-19,50,27.52,30.71,24.85,24.52,35.96,20.67,11.47,9.92,1.34,0.04,13.29,3.52,19.31,84.33,0.66,0.75,0,1.9,9.77,0.700916168803923,12.746,39.609,3.691,79.50754984,77.5472,0.36046511627907,6.59517349849818,12.6380802998093,39.609135355809,0.700916168803923,0.217801953916405,9.58528140563109,3.70471859436891,17.78,1,5.86
"verao_2019",-41.3433,-21.7136,51,2019-02-20,51,28.59,33.36,24.94,24.56,36.08,21.6,12.54,10.31,1.39,0.04,3.18,5.95,19.38,80.14,0.65,0.67,0,1.46,-2.77,1.05881347749945,12.726,39.496,4.041,80.68078574,78.6316,0.360615599860091,6.90106075353696,12.6186433549287,39.4957682884858,1.05881347749945,0.233402263331598,10.0825542100786,-6.90255421007864,19.15,1,8.42
"verao_2019",-41.3433,-21.7136,52,2019-02-21,52,27.24,29.83,25.16,24.46,35.88,17.78,10.9,8.55,1.16,0.04,5.98,2.55,19.18,85.19,0.65,0.68,0,1.2,3.43,0.632656521721561,12.706,39.38,3.517,79.15592844,77.2456,0.313876651982379,5.6884523968552,12.5990703458262,39.3800378592659,0.632656521721561,0.214669286485716,8.23333634955535,-2.25333634955535,17.495,1,4.67
"verao_2019",-41.3433,-21.7136,53,2019-02-22,53,28.36,33.37,24.39,23.82,34.81,27.55,31.52,12.97,1.68,0.05,0.55,6.94,18.44,78.28,0.64,0.64,0,1.85,-6.39,1.14311792868067,12.686,39.262,10.184,80.05576592,78.1352,0.457334273624824,8.82690635427629,12.5793667316122,39.2619497189999,1.14311792868067,0.23025571239782,12.8437770748041,-12.2937770748041,18.88,1,8.98
"verao_2019",-41.3433,-21.7136,54,2019-02-23,54,29.37,35.9,24.32,23.4,34.88,26.58,28.94,12.5,1.63,0.05,0.25,6,18.06,73.6,0.63,0.61,0,1.78,-5.75,1.59691289422567,12.665,39.142,9.364,80.9650568,78.994,0.425604358188628,8.52886119826737,12.5595378938453,39.1415113293467,1.59691289422567,0.244883894390075,12.4608930164086,-12.2108930164086,20.11,1,11.58
"verao_2019",-41.3433,-21.7136,55,2019-02-24,55,30.1,37.31,24.4,22.98,34.87,27.5,30.32,12.91,1.68,0.05,0.11,4.28,17.69,69.3,0.62,0.59,0,2.12,-4.17,1.91282428038826,12.645,39.019,9.826,81.421807,79.5728,0.42890365448505,8.83777313094307,12.5395891368883,39.0187319990223,1.91282428038826,0.254117220314705,12.9335812643888,-12.8235812643888,20.855,1,12.91
"verao_2019",-41.3433,-21.7136,56,2019-02-25,56,30.48,37,25.44,23.38,35.64,26.31,27.91,12.36,1.61,0.05,0.9,2.85,18.13,68.97,0.61,0.58,0,1.66,-1.95,1.88856251009565,12.625,38.894,9.06,81.93792544,80.0968,0.405511811023622,8.46896473399344,12.5195256885207,38.893622917433,1.88856251009565,0.258746340571797,12.3927863111492,-11.4927863111492,21.22,1,11.56
"verao_2019",-41.3433,-21.7136,57,2019-02-26,57,28.85,33.75,26,23.78,35.89,24.45,21.94,11.6,1.54,0.05,10.59,1.31,18.54,76.23,0.61,0.65,0,1.55,9.28,1.35876552324155,12.604,38.766,7.133,80.54004145,78.6108,0.40207972270364,7.88339315489847,12.499352700797,38.7661971856107,1.35876552324155,0.242030414353119,11.4504451586616,-0.860445158661618,19.875,1,7.75
"verao_2019",-41.3433,-21.7136,58,2019-02-27,58,27.7,30.96,25.13,23.87,36.1,21.55,13.32,10.23,1.38,0.04,8.19,2.22,18.56,80.66,0.63,0.68,0,1.94,5.97,0.876638853279884,12.584,38.636,4.338,79.3220118,77.4932,0.369314079422383,6.96036860368766,12.479075251142,38.6364698443745,0.876638853279884,0.22074916523621,10.0064478886551,-1.81644788865514,18.045,1,5.83
"verao_2019",-41.3433,-21.7136,59,2019-02-28,59,27.82,31.88,24.56,23.64,35.94,20.01,13.33,9.53,1.29,0.04,8.69,2.4,18.32,79.39,0.63,0.67,0,1.51,6.29,0.984084398726789,12.563,38.504,4.349,79.34686502,77.5304,0.342559309849029,6.47453742905805,12.4586983436713,38.5044578996482,0.984084398726789,0.222713748230616,9.29930739353536,-0.609307393535357,18.22,1,7.32
"outono_2019",-41.3433,-21.7136,60,2019-03-01,1,28.15,32.89,24.75,23.72,35.69,23.67,18.79,11.22,1.48,0.05,13.51,5.69,18.39,78.57,0.65,0.73,0,2.53,7.82,1.12588020597187,12.543,38.37,6.142,79.76227045,77.8892,0.398579040852576,7.67295927021457,12.4382269107294,38.3701803448687,1.12588020597187,0.229561337008698,11.0318177410473,2.47818225895269,18.82,1,8.14
"outono_2019",-41.3433,-21.7136,61,2019-03-02,2,27.14,31.05,24.54,23.23,35.47,23,19.02,10.9,1.45,0.05,3.51,4.05,17.82,80.3,0.65,0.67,0,2.67,-0.54,0.944913660935299,12.522,38.234,6.229,78.3759858,76.7028,0.401621223286662,7.47002320282197,12.4176658146331,38.233658180428,0.944913660935299,0.217967889650771,10.6665656425179,-7.15656564251794,17.795,1,6.51
"outono_2019",-41.3433,-21.7136,62,2019-03-03,3,27.65,32.89,23.77,22.77,34.44,25.97,27.76,12.18,1.59,0.05,0.65,6.36,17.36,77.07,0.64,0.63,0,3.65,-5.71,1.20045259262406,12.501,38.095,9.11,78.77224645,77.0472,0.440506329113924,8.4512751980363,12.3970198496109,38.0949144300971,1.20045259262406,0.223956130320562,12.0755463598993,-11.4255463598993,18.33,1,9.12
"outono_2019",-41.3433,-21.7136,63,2019-03-04,4,27.3,32.7,23.12,22.41,34.12,24.85,21.28,11.68,1.54,0.05,0.46,5.08,16.94,77,0.63,0.61,0,3.14,-4.62,1.17723861023765,12.481,37.954,6.998,78.21279,76.5676,0.427838827838828,8.10325944486356,12.376293743929,37.953974154386,1.17723861023765,0.219243596612663,11.5310956120631,-11.0710956120631,17.91,1,9.58
"outono_2019",-41.3433,-21.7136,64,2019-03-05,5,27.28,32.28,24.04,23.15,35.19,21.79,18.55,10.41,1.39,0.04,3.02,3.13,17.72,80.29,0.63,0.62,0,2.58,-0.11,1.07574494116384,12.46,37.811,6.113,78.59941088,76.814,0.381598240469208,7.12033903623876,12.3554921621928,37.810864460802,1.07574494116384,0.222038529040007,10.1235769829659,-7.10357698296593,18.16,1,8.24
"outono_2019",-41.3433,-21.7136,65,2019-03-06,6,26.71,30.45,24.33,23.22,34.69,23.67,22.95,11.32,1.5,0.05,2.02,1.96,17.76,82.42,0.63,0.62,0,2.94,0.0600000000000001,0.851609578952869,12.439,37.666,7.579,77.94327818,76.2692,0.423811306626732,7.75137887100988,12.3346197078146,37.6656145109747,0.851609578952869,0.213524734446769,10.9549756458467,-8.93497564584674,17.39,1,6.12
"outono_2019",-41.3433,-21.7136,66,2019-03-07,7,27.26,31.48,23.67,23.27,34.27,24.79,27.19,11.74,1.54,0.05,0.56,2.48,17.8,80.35,0.62,0.6,0,2.72,-1.92,0.915399207792851,12.418,37.518,9,78.5749259,76.8372,0.430667644900954,8.13620318637205,12.3136809256379,37.5182555246235,0.915399207792851,0.21554478361242,11.4840667432492,-10.9240667432492,17.575,1,7.81
"outono_2019",-41.3433,-21.7136,67,2019-03-08,8,27.75,33.59,23.08,22.65,34.11,26.09,30.35,12.27,1.6,0.05,0.07,2.99,17.21,76.54,0.62,0.59,0,2.61,-2.92,1.26049203469194,12.397,37.369,10.068,78.8597315,77.104,0.442162162162162,8.58244981919437,12.2926803047074,37.3688207803493,1.26049203469194,0.224012740264676,12.1316368419935,-12.0616368419935,18.335,1,10.51
"outono_2019",-41.3433,-21.7136,68,2019-03-09,9,27.87,32.91,24.1,23.45,34.75,25.53,28.98,12.1,1.58,0.05,0.24,1.75,18.08,78.87,0.61,0.58,0,2.14,-1.51,1.11648659903352,12.376,37.217,9.637,79.35754831,77.512,0.434158593469681,8.41797048328434,12.2716222811772,37.2173456132408,1.11648659903352,0.225944642720753,11.8809416050453,-11.6409416050453,18.505,1,8.81
"outono_2019",-41.3433,-21.7136,69,2019-03-10,10,28.64,34.83,24.45,23.05,35.43,22.95,22.46,10.87,1.44,0.04,0.59,1.92,17.69,74.62,0.61,0.58,0,1.79,-1.33,1.49977274949847,12.355,37.064,7.487,79.98519632,78.138,0.379539106145251,7.58553417764452,12.2505112413449,37.0638674092915,1.49977274949847,0.239204877228869,10.736675057661,-10.146675057661,19.64,1,10.38
"outono_2019",-41.3433,-21.7136,70,2019-03-11,11,27.12,30.98,24.53,23.4,35.08,19.93,14.36,9.51,1.28,0.04,5.48,0.86,18.03,81.44,0.61,0.62,0,1.19,4.62,0.905664096613691,12.334,36.908,4.799,78.48694272,76.744,0.350663716814159,6.60366764361816,12.2293515248052,36.9084255966321,0.905664096613691,0.217525630269201,9.24097209437563,-3.76097209437563,17.755,1,6.45
"outono_2019",-41.3433,-21.7136,71,2019-03-12,12,26.71,30.48,24.5,23.03,35.02,21.29,17.59,10.13,1.34,0.04,2.89,1,17.61,81.49,0.62,0.63,0,1.17,1.89,0.903401329084762,12.313,36.751,5.893,77.83034921,76.2008,0.379258704605017,7.07221634377017,12.2081474277112,36.7510616335889,0.903401329084762,0.21461466731281,9.85845355704208,-6.96845355704208,17.49,1,5.98
"outono_2019",-41.3433,-21.7136,72,2019-03-13,13,27.81,32.78,24.15,22.97,35.13,24.01,24.6,11.38,1.48,0.04,0.59,1.74,17.57,77.09,0.62,0.6,0,2.01,-1.15,1.18526474835166,12.292,36.592,8.264,79.02657171,77.2792,0.409205321826681,7.996529115719,12.1869032061362,36.5918189935859,1.18526474835166,0.225488823293053,11.1714368180078,-10.5814368180078,18.465,1,8.63
"outono_2019",-41.3433,-21.7136,73,2019-03-14,14,29.09,35.71,24.19,22.44,35.69,22.07,19.4,10.53,1.41,0.04,1.15,2,17.13,70.6,0.61,0.59,0,1.48,-0.85,1.71688665400376,12.271,36.431,6.534,80.0992646,78.3684,0.361980061876934,7.37001988354564,12.1656230795253,36.430743146917,1.71688665400376,0.24293805323391,10.3392798874297,-9.1892798874297,19.95,1,11.52
"outono_2019",-41.3433,-21.7136,74,2019-03-15,15,27.9,32.21,24.93,23.74,35.7,19.29,16.26,9.21,1.22,0.04,7.35,1.32,18.43,79.8,0.61,0.63,0,1.27,6.03,1.04534116034702,12.25,36.268,5.492,79.529158,77.6464,0.33010752688172,6.45926240422055,12.14431123423,36.2678815394195,1.04534116034702,0.226686999671153,8.9798079626847,-1.6298079626847,18.57,1,7.28
"outono_2019",-41.3433,-21.7136,75,2019-03-16,16,27.24,31.8,24.38,23.52,35.94,16.61,12.25,8.06,1.1,0.03,7.92,2.93,18.15,81.57,0.63,0.66,0,1.34,4.99,0.977925003426896,12.229,36.103,4.149,78.69736132,76.9072,0.295888399412629,5.57740299905475,12.1229718271152,36.1032835680888,0.977925003426896,0.221252947699864,7.71432607212022,0.205673927879778,18.09,1,7.42
"outono_2019",-41.3433,-21.7136,76,2019-03-17,17,27.24,30.35,25.06,23.63,35.82,19.32,13.86,9.3,1.24,0.04,6.34,1.77,18.28,81.66,0.63,0.66,0,0.83,4.57,0.835738700089609,12.208,35.937,4.708,78.70876216,76.9468,0.341409691629956,6.50591540945918,12.1016089892303,35.9370005536798,0.835738700089609,0.216973866743937,8.95589930386999,-2.61589930386999,17.705,1,5.29
"outono_2019",-41.3433,-21.7136,77,2019-03-18,18,27.24,29.95,24.69,24.41,35.82,21.84,19.36,10.45,1.37,0.04,7.18,1.66,19.2,85.19,0.64,0.68,0,1.69,5.52,0.612170111153225,12.187,35.769,6.596,79.15592844,77.2276,0.383627019089574,7.37598260390443,12.0802268295372,35.7690857103478,0.612170111153225,0.212764553306801,10.1044133075172,-2.92441330751721,17.32,1,5.26
"outono_2019",-41.3433,-21.7136,78,2019-03-19,19,27.56,30.1,25.23,25.07,35.8,20.3,14.52,9.66,1.27,0.04,14.62,1.63,20.03,86.61,0.65,0.74,0,1.41,12.99,0.558421457441396,12.166,35.6,4.962,79.86938884,77.7852,0.350507982583454,6.87632102861877,12.058829438685,35.5995941123878,0.558421457441396,0.216533303246745,9.40830272855702,5.21169727144298,17.665,1,4.87
